Participante,Preferencia
1,Sahne-Nuss
2,Sahne-Nuss
3,Sahne-Nuss
4,Sahne-Nuss
5,Sahne-Nuss
6,Sahne-Nuss
7,Sahne-Nuss
8,Sahne-Nuss
9,Trencito
10,Trencito
11,Sahne-Nuss
12,Sahne-Nuss
13,Trencito
14,Trencito
15,Sahne-Nuss
16,Sahne-Nuss
17,Sahne-Nuss
18,Sahne-Nuss
19,Sahne-Nuss
20,Sahne-Nuss
21,Trencito
22,Sahne-Nuss
23,Sahne-Nuss
24,Sahne-Nuss
25,Sahne-Nuss
26,Sahne-Nuss
27,Sahne-Nuss
28,Sahne-Nuss
29,Trencito
30,Sahne-Nuss
31,Trencito
32,Sahne-Nuss
33,Sahne-Nuss
34,Sahne-Nuss
35,Sahne-Nuss
36,Sahne-Nuss
37,Sahne-Nuss
38,Trencito
39,Trencito
40,Trencito
41,Sahne-Nuss
42,Sahne-Nuss
43,Sahne-Nuss
44,Sahne-Nuss
45,Sahne-Nuss
46,Sahne-Nuss
47,Sahne-Nuss
48,Sahne-Nuss
49,Trencito
50,Sahne-Nuss
51,Sahne-Nuss
52,Sahne-Nuss
53,Sahne-Nuss
54,Sahne-Nuss
55,Trencito
56,Sahne-Nuss
57,Trencito
58,Sahne-Nuss
59,Sahne-Nuss
60,Trencito
