Participante,Preferencia
1,Golden-Nuss
2,Golden-Nuss
3,Sahne-Nuss
4,Golden-Nuss
5,Golden-Nuss
6,Sahne-Nuss
7,Trencito
8,Trencito
9,Sahne-Nuss
10,Golden-Nuss
11,Sahne-Nuss
12,Golden-Nuss
13,Golden-Nuss
14,Golden-Nuss
15,Sahne-Nuss
16,Golden-Nuss
17,Golden-Nuss
18,Sahne-Nuss
19,Sahne-Nuss
20,Golden-Nuss
21,Trencito
22,Golden-Nuss
23,Golden-Nuss
24,Golden-Nuss
25,Golden-Nuss
26,Golden-Nuss
27,Golden-Nuss
28,Trencito
29,Golden-Nuss
30,Golden-Nuss
31,Trencito
32,Sahne-Nuss
33,Golden-Nuss
34,Golden-Nuss
35,Sahne-Nuss
36,Sahne-Nuss
37,Trencito
38,Golden-Nuss
39,Golden-Nuss
40,Sahne-Nuss
41,Golden-Nuss
42,Trencito
43,Sahne-Nuss
44,Sahne-Nuss
45,Golden-Nuss
46,Sahne-Nuss
47,Golden-Nuss
48,Trencito
49,Golden-Nuss
50,Golden-Nuss
51,Sahne-Nuss
52,Sahne-Nuss
53,Golden-Nuss
54,Sahne-Nuss
55,Sahne-Nuss
56,Golden-Nuss
57,Sahne-Nuss
58,Sahne-Nuss
59,Sahne-Nuss
60,Golden-Nuss
