Participante,Preferencia,Genero
1,Sahne-Nuss,Femenino
2,Sahne-Nuss,Femenino
3,Sahne-Nuss,Femenino
4,Sahne-Nuss,Masculino
5,Sahne-Nuss,Femenino
6,Sahne-Nuss,Masculino
7,Sahne-Nuss,Femenino
8,Sahne-Nuss,Femenino
9,Trencito,Femenino
10,Trencito,Masculino
11,Sahne-Nuss,Masculino
12,Sahne-Nuss,Femenino
13,Trencito,Masculino
14,Trencito,Masculino
15,Sahne-Nuss,Femenino
16,Sahne-Nuss,Femenino
17,Sahne-Nuss,Femenino
18,Sahne-Nuss,Masculino
19,Sahne-Nuss,Femenino
20,Sahne-Nuss,Femenino
21,Trencito,Masculino
22,Sahne-Nuss,Femenino
23,Sahne-Nuss,Masculino
24,Sahne-Nuss,Masculino
25,Sahne-Nuss,Femenino
26,Sahne-Nuss,Masculino
27,Sahne-Nuss,Masculino
28,Sahne-Nuss,Femenino
29,Trencito,Femenino
30,Sahne-Nuss,Femenino
31,Trencito,Masculino
32,Sahne-Nuss,Femenino
33,Sahne-Nuss,Masculino
34,Sahne-Nuss,Masculino
35,Sahne-Nuss,Femenino
36,Sahne-Nuss,Femenino
37,Sahne-Nuss,Masculino
38,Trencito,Masculino
39,Trencito,Masculino
40,Trencito,Masculino
41,Sahne-Nuss,Masculino
42,Sahne-Nuss,Femenino
43,Sahne-Nuss,Masculino
44,Sahne-Nuss,Femenino
45,Sahne-Nuss,Masculino
46,Sahne-Nuss,Femenino
47,Sahne-Nuss,Femenino
48,Sahne-Nuss,Femenino
49,Trencito,Masculino
50,Sahne-Nuss,Masculino
51,Sahne-Nuss,Femenino
52,Sahne-Nuss,Femenino
53,Sahne-Nuss,Femenino
54,Sahne-Nuss,Femenino
55,Trencito,Masculino
56,Sahne-Nuss,Femenino
57,Trencito,Masculino
58,Sahne-Nuss,Masculino
59,Sahne-Nuss,Masculino
60,Trencito,Masculino
